Date,Margin,Short
2021-01-15,8790389.0,1066165.0
2021-01-18,8793006.0,1058785.0
2021-01-19,8830328.0,1068133.0
2021-01-20,8649982.0,1030933.0
2021-01-21,8585974.0,1042278.0
2021-01-22,8619738.0,1055594.0
2021-01-25,8581745.0,1007455.0
2021-01-26,8554812.0,970088.0
2021-01-27,8626484.0,976504.0
2021-01-28,8566116.0,916124.0
2021-01-29,8518061.0,913612.0
2021-02-01,8482664.0,826071.0
2021-02-02,8495473.0,818468.0
2021-02-03,8490399.0,825997.0
2021-02-04,8469018.0,834822.0
2021-02-05,8296787.0,831662.0
2021-02-17,8361445.0,849656.0
2021-02-18,8473312.0,857963.0
2021-02-19,8589154.0,867903.0
2021-02-22,8699749.0,887121.0
2021-02-23,8782372.0,892059.0
2021-02-24,8803201.0,891513.0
2021-02-25,8887238.0,922806.0
2021-02-26,8892801.0,927688.0
2021-03-02,8813987.0,933530.0
2021-03-03,8881344.0,929364.0
2021-03-04,8893623.0,921031.0
2021-03-05,8926661.0,884717.0
2021-03-08,8914292.0,877173.0
2021-03-09,8962966.0,862577.0
2021-03-10,8939496.0,881770.0
2021-03-11,8942652.0,878306.0
2021-03-12,8957638.0,867338.0
2021-03-15,9044356.0,852951.0
2021-03-16,9034825.0,842881.0
2021-03-17,8989783.0,844030.0
2021-03-18,8973839.0,818920.0
2021-03-19,9015534.0,773562.0
2021-03-22,9145016.0,756032.0
2021-03-23,9051577.0,744221.0
2021-03-24,9121898.0,748340.0
2021-03-25,9084950.0,731918.0
2021-03-26,9129703.0,747026.0
2021-03-29,9164461.0,745812.0
2021-03-30,9137418.0,733785.0
2021-03-31,9122072.0,705029.0
2021-04-01,9145356.0,702891.0
2021-04-06,9122084.0,564679.0
2021-04-07,9152944.0,570617.0
2021-04-08,9213689.0,540425.0
2021-04-09,9223131.0,533066.0
2021-04-12,9407875.0,547155.0
2021-04-13,9287859.0,543066.0
2021-04-14,9269617.0,519227.0
2021-04-15,9449972.0,526768.0
2021-04-16,9532594.0,474944.0
2021-04-19,9822596.0,418778.0
2021-04-20,9756252.0,406605.0
2021-04-21,9906217.0,415292.0
2021-04-22,9733809.0,409773.0
2021-04-23,9869784.0,415305.0
2021-04-26,10140914.0,451626.0
2021-04-27,10166284.0,466254.0
2021-04-28,10235842.0,494762.0
2021-04-29,10213119.0,494991.0
2021-05-04,9621675.0,447811.0
2021-05-05,9667641.0,469741.0
2021-05-06,9662601.0,486201.0
2021-05-07,9784200.0,515830.0
2021-05-10,9956504.0,544127.0
2021-05-11,9501881.0,542214.0
2021-05-12,9076299.0,458991.0
2021-05-13,8854374.0,419540.0
2021-05-14,8750321.0,443406.0
2021-05-17,8260375.0,427678.0
2021-05-18,8326166.0,457947.0
2021-05-19,8338619.0,501765.0
